2026-07-04 14:30:05.118: [INFO] VisibilityChanged: 0
2026-07-04 14:30:05.138: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2026-07-04 14:30:05.139: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2026-07-04 14:30:05.139: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2026-07-04 14:30:05.140: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2026-07-04 14:30:05.141: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2026-07-04 14:30:05.141: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2026-07-04 14:30:05.142: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2026-07-04 14:30:05.143: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2026-07-04 14:30:05.143: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2026-07-04 14:30:05.144: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2026-07-04 14:30:05.145: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2026-07-04 14:30:05.154: [INFO] BookmarkModelLoaded, ids_reassigned: 0
2026-07-04 14:30:05.154: [INFO] OnDoneLoading sync enabled: 0
2026-07-04 14:30:05.158: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2026-07-04 14:30:06.047: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2026-07-04 14:30:06.049: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 3
2026-07-04 14:30:06.051: [INFO] Primary account changed.
2026-07-04 14:30:06.051: [INFO] OnPrimaryAccountChanged PrimaryAccountChangeEvent::Type::kSet
2026-07-04 14:30:06.056: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 3
2026-07-04 14:30:06.083: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 3
2026-07-04 14:30:08.705: [INFO] BookmarkNodeAdded, ABU: 0
2026-07-04 14:30:08.706: [INFO] BookmarkNodeAdded, ABU: 0
2026-07-04 14:30:08.707: [INFO] BookmarkNodeAdded, ABU: 0
2026-07-04 14:30:08.707: [INFO] BookmarkNodeAdded, ABU: 0
2026-07-04 14:30:08.708: [INFO] BookmarkNodeAdded, ABU: 0
2026-07-04 14:30:08.709: [INFO] BookmarkNodeAdded, ABU: 0
2026-07-04 14:30:08.710: [INFO] BookmarkNodeAdded, ABU: 0
2026-07-04 14:30:08.710: [INFO] BookmarkNodeAdded, ABU: 0
2026-07-04 14:30:08.711: [INFO] BookmarkNodeAdded, ABU: 0
2026-07-04 14:30:08.712: [INFO] BookmarkNodeAdded, ABU: 0
2026-07-04 14:30:08.712: [INFO] BookmarkNodeAdded, ABU: 0
2026-07-04 14:30:08.713: [INFO] BookmarkNodeAdded, ABU: 0
2026-07-04 14:30:08.714: [INFO] BookmarkNodeAdded, ABU: 0
2026-07-04 14:30:08.715: [INFO] BookmarkNodeAdded, ABU: 0
2026-07-04 14:30:08.716: [INFO] BookmarkNodeAdded, ABU: 0
2026-07-04 14:30:08.717: [INFO] BookmarkNodeAdded, ABU: 0
2026-07-04 14:30:08.717: [INFO] BookmarkNodeAdded, ABU: 0
2026-07-04 14:30:08.718: [INFO] BookmarkNodeAdded, ABU: 0
2026-07-04 14:30:08.719: [INFO] BookmarkNodeAdded, ABU: 0
2026-07-04 14:30:08.719: [INFO] BookmarkNodeAdded, ABU: 0
2026-07-04 14:30:08.720: [INFO] BookmarkNodeAdded, ABU: 0
2026-07-04 14:30:08.721: [INFO] BookmarkNodeAdded, ABU: 0
2026-07-04 14:30:08.722: [INFO] BookmarkNodeAdded, ABU: 0
2026-07-04 14:30:08.722: [INFO] BookmarkNodeAdded, ABU: 0
2026-07-04 14:30:08.723: [INFO] BookmarkNodeAdded, ABU: 0
